非洲	Africa
日本	Japan
南美洲	South America
Nò-vî	Norway
Sû-kak-làn	Scotland
Vî-ngì-sṳ̂	Wales
Pet Oi-ngì-làn	Northern Ireland
Hiûng-ngà-li	Hungary
Sî-pân-ngà	Spain
Mî-koet	United States
Pí-li-sṳ̀	Belgium
Lù-sêm-pó	Luxembourg
Yî-chhiu	Universe
Thi-khiù	Earth
Sâng-miang	Life
Ngìn-lui	Human
George Washington	George Washington
Fûn-làn	Finland
Shuì-tién	Sweden
Tan-ma̍k	Denmark
Pô-làn	Poland
Li̍p-thâu-vón	Lithuania
Yi-thai-li	Italy
Shuì-sṳ	Switzerland
O-thi-li	Austria
Hî-lia̍p	Greece
Thú-ngí-khì	Turkey
Phù-thò-ngà	Portugal
歐洲	Europe
亞洲	Asia
北美洲	North America
南極洲	Antarctica
Vì-kî Pak-khô	Wikipedia
Hò-làn	Netherlands
Néu-yok-sṳ	New York City
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington, D.C.
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlin
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Computer
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	London
Phìn-kó	Apple
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	Mexico
Thai-sî-yòng	Atlantic Ocean
Thai-phìn-yòng	Pacific Ocean
Kâ-li-fuk-nì-â	California
Pô-sṳ-tun	Boston
Fó-sên	Mars
Âi-set-ngò-pí-â	Ethiopia
Sṳ̂-é	Lion
Fap-koet	France
Sṳ-kie-ngî	Esperanto
Kiéu-è	Dog
Yîn-koet	United Kingdom
Meu-é	Cat
中華人民共和國	China
Fap-ngî	French language
Ǹg-è	Fish
Pâ-sî	Brazil
François Hollande	François Hollande
Ngò-lò-sṳ̂	Russia
Kîn-ǹg	Cetacea
Chang-fông-hìn	Square
Mong-kó	Mango
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Quebec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Germany
Pha̍k-ngò-lò-sṳ̂	Belarus
Tet-ngî	German language
Pên-tó	Iceland
Song-ti	God
Oi-sâ-nì-â	Estonia
David Cameron	David Cameron
Thú-sên	Saturn
Ku-thin-yi̍t Fî-kî	Airplane
1	1 (number)
2	2 (number)
3	3 (number)
4	4 (number)
5	5 (number)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Latvia
Vû-khiet-làn	Ukraine
Tshia̍p-khiet	Czech Republic
Sṳ̂-lo̍k-vì-nì-â	Slovenia
Lò-mâ-nì-â	Romania
Pó-kâ-li-â	Bulgaria
Lò-mâ	Rome
Mâ-khì-tun	Republic of Macedonia
Â-ngì-pâ-nì-â	Albania
Khiet-lò-âi-sî-â	Croatia
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnia and Herzegovina
Â-set-pai-kiông	Azerbaijan
Set-phû-lu-sṳ̂	Cyprus
Kak-lû-kit-â	Georgia (country)
Hâ-sat-khiet-sṳ̂-thán	Kazakhstan
Mí-li-thai	Malta
Mô-na̍p-kô	Monaco
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San Marino
Kú-pâ	Cuba
Eiffel Thiet-thap	Eiffel Tower
Yin-thu-nì-sî-â	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Turkish language
Nàm-fî	South Africa
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Uzbekistan
Pô-tsṳ-nàm	Poznań
Fà-sâ	Warsaw
Súi	Water
Thien-sṳ	Television
Chṳ-li	Chile
Yâ-sû	Jesus
Súi-sên	Mercury (planet)
Li̍t-sṳ́	History
Phìn-kó Kûng-sṳ̂	Apple Inc.
Kîm-sên	Venus
Ngî-ngièn	Language
Muk-sên	Jupiter
Thiên-vòng-sên	Uranus
Pu-lie̍t-thap-nì	Brittany
Hói-vòng-sên	Neptune
Thiên-vùn-ho̍k	Astronomy
Sîn-kâ-po	Singapore
Khô-ho̍k	Science
Montréal	Montreal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	World War II
Cologne	Cologne
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Szczecin
Sṳ-ho̍k	Mathematics
Lâ-tên-ngî	Latin
Pâ-lìm	Bahrain
Â-mî-nì-â	Armenia
Set-ngì-vì-â	Serbia
Ngie̍t-khiù	Moon
Àu-thai-li-â	Australia
Vu̍t-lî-ho̍k	Physics
Â-kîn-thìn	Argentina
Pi-lû	Peru
Sâng-vu̍t-ho̍k	Biology
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	North Korea
Kán-pu-chhài	Cambodia
Khiúng-liùng	Dinosaur
Yî-sṳ̂-làn-kau	Islam
Lech Wałęsa	Lech Wałęsa
Lin-é	Wheel
Lyon	Lyon
Êu-chû Lièn-mèn	European Union
Rhône-Alpes	Rhône-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Woman
Khiûng-tsiâu	Banana
Fâ	Flower
Mâ-lî-â-na̍p-hói	Mariana Trench
Chû-mu̍k-lòng-mâ-fûng	Mount Everest
Sàng-sṳ	City
Nâ-pho-lùn yit-sṳ	Napoleon
Ngit-tèu	Sun
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Oceania
Thai-yòng Hì	Solar System
Pô-lò-tit-hói	Baltic Sea
Ngâ-chhṳ	Tooth
Khîn	Hydrogen
Hoi (氦)	Helium
Angela Merkel	Angela Merkel
Lî	Lithium
Phì	Beryllium
Si	Book
Ngit	Day
Ngièn	Year
Sṳ-ki	Century
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boron
Thàn	Carbon
Tham	Nitrogen
Yòng	Oxygen
Hàng-sên	Planet
Yîm-ngo̍k	Music
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moscow
Fuk	Fluorine
Yi-thai-li-ngî	Italian language
Nái	Neon
Sṳn Pí-tet-páu	Saint Petersburg
Na̍p	Sodium
北	North
Mî	Magnesium
Lî (鋁)	Aluminium
Néu Sî-làn	New Zealand
南	South
