非洲	Africa
Yin-thu	India
Si̍t	Silicon
Fap	Francium
Lìn	Phosphorus
Thiet	Iron
Tûng-kâ	Tonga
西	West
Liù-vòng	Sulfur
東	East
Liu̍k	Chlorine
Pâ-pu-â Néu-kí-nui-â	Papua New Guinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Potassium
Koi	Calcium
Yèn	Lead
Mùng-kú-koet	Mongolia
Khong (鈧)	Scandium
Thai	Titanium
Genghis Khan	Genghis Khan
Fàm	Vanadium
Mien-yîn	Maine
Kok	Chromium
Mâ	Horse
Thûng-vu̍t	Animal
Sû-li-nàm	Suriname
Màng	Manganese
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Art
Lòi	Rhenium
Kô-lùn-pí-â	Colombia
Kû	Cobalt
Vû	Tungsten
Ngiap (鎳)	Nickel
Fu̍t-kau	Buddhism
Pô-li-vì-â	Bolivia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad and Tobago
Chhṳ̍t-vu̍t	Plant
Sîn	Zinc
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Gelderland
Pâ-hâ-mâ	The Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Chicken
Ha-vî-yî	Hawaii
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
Tô-mí-nì-kâ Khiung-fò-koet	Dominican Republic
Kâ-chû (Thung-vu̍t)	Domestic pig
Hói-thi	Haiti
Sat-ngì-ngá-tô	El Salvador
Yî-lóng	Iran
Yî-là-khiet	Iraq
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israel
Pâ-nâ-mâ	Panama
Ya̍p-mùn	Yemen
Phiang-thu̍k	Virus
Pô-làn-ngî	Polish language
Yok-tan	Jordan
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Florida
Kit-ngí-kit-sṳ̂-thán	Kyrgyzstan
Â-li-sông-ná	Arizona
Khô-vî-thi̍t	Kuwait
Liàu-koet	Laos
Lì-pâ-nun	Lebanon
O-le̍t-kông	Oregon
Gi-tuk-gaau zung geh sin	God in Christianity
Mâ-ngì-thoi-fû	Maldives
Yù-thâ	Utah
Mâ-lòi-sî-â	Malaysia
Mién-thien	Burma
Nì-pok	Nepal
Â-man	Oman
Pâ-kî-sṳ̂-thán	Pakistan
Khà-tha̍t	Qatar
Mióng-khiù	Tennis
Sâ-vû-thi Â-lâ-pak	Saudi Arabia
Sṳ̂-lî-làn-khà	Sri Lanka
Si-li-â	Syria
Kâ	Gallium
Thap-kit-khiet-sṳ̂-thán	Tajikistan
中華民國	Taiwan
YouTube	YouTube
Châ	Germanium
Thai-koet	Thailand
Sṳ̂n	Arsenic
Thú-khû-man-sṳ̂-thán	Turkmenistan
Abakan	Abakan
Sî	Selenium
Yî	Iridium
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	United Arab Emirates
Tshiù (溴)	Bromine
Pha̍k (鉑)	Platinum
Ye̍t-nàm	Vietnam
Thai-hòn Mìn-koet	South Korea
Khiet	Krypton
Â-fu-hon	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Lù	Rubidium
Kîm	Gold
Men-kâ-lâ-koet	Bangladesh
Ufa	Ufa
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Mercury (element)
Fî-li̍t-pîn	Philippines
Thò	Thallium
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Strontium
Yet	Yttrium
Pit	Bismuth
Vòng-set	Yellow
Tsan-pí-â	Zambia
Sîn-pâ-pu-vî	Zimbabwe
北京	Beijing
Tuva Khiung-fò-koet	Tuva
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polonium
Bayern	Bavaria
Baden-Württemberg	Baden-Württemberg
Ngo (砈)	Astatine
Lòi-sò-thok	Lesotho
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagascar
Mâ-là-vî	Malawi
Stuttgart	Stuttgart
Màu-li-thap-nì-â	Mauritania
Pô-làn-ngìn	Poles
Mo̍k-sông-pí-khiet	Mozambique
Na̍p-mí-pí-â	Namibia
Nai-khi̍p-li-â	Nigeria
Ko	Zirconium
Nì	Niobium
Yû-li-vû-sṳ̂ Khái-sat	Julius Caesar
Sṳ̂-vî-sṳ-làn	Swaziland
Muk	Molybdenum
Thap	Technetium
Hamburg	Hamburg
Thoi-chhia	Metabolism
Miên-yi̍t Hì-thúng	Immune system
Lièn-ha̍p-koet	United Nations
Sîm-chhong	Heart
Thèu-nó	Brain
Phì-fû	Skin
Ló	Rhodium
Làm-set	Blue
Pâ	Palladium
Ngiùn	Silver
Kak	Cadmium
Yîn	Indium
Siak	Tin
Yu	Uranium
Thi (銻)	Antimony
Ti	Tellurium
Pu	Plutonium
Tièn	Iodine
Nai	Neptunium
Set	Caesium
Phù	Protactinium
Pi	Barium
Thú	Thorium
Kap (鉿)	Hafnium
Than (鉭)	Tantalum
Luì	Radium
Tûng	Radon
Alsace	Alsace
Auvergne	Auvergne (region)
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Michigan
Burgundy	Burgundy
Aquitaine	Aquitaine
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Lower Saxony
Pet Rhine-Westphalia	North Rhine-Westphalia
Saxony	Saxony
Yî-li-nò	Illinois
Thuringia	Thuringia
Saxony-Anhalt	Saxony-Anhalt
Pet Tha̍t-khô-thâ	North Dakota
Brandenburg	Brandenburg
Bremen-chû	Bremen (state)
Nàm Tha̍t-khô-thâ	South Dakota
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jerusalem
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (state)
Lù (鑪)	Rutherfordium
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dubnium
Hí (𨭎)	Seaborgium
Yin-thu-yòng	Indian Ocean
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Caribbean Sea
Pô (𨨏)	Bohrium
Het (𨭆)	Hassium
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerium
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadtium
Siau-pâng	Frédéric Chopin
Lùn	Roentgenium
Kô (鎶)	Copernicium
分類:Chú-yeu fûn-lui	Category:Contents
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Winter
Sî-pân-ngà-ngî	Spanish language
Fî-là-thiet-fî	Philadelphia
Tî-tû	Spider
Hèu-è	Monkey
Kîm-tshièn	Money
Vì-kit-nì-â	Virginia
Sî Vì-kit-nì-â	West Virginia
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	New York
Sṳ (鈰)	Cerium
Phú	Praseodymium
Lò-tet-tó	Rhode Island
Ńg	Neodymium
Khûn-chhùng	Insect
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europium
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Virgil
Machiavelli	Niccolò Machiavelli
Pîn-sé-fap-nì-â	Pennsylvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	Augustus
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Finnish language
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasian
Thù-là-chṳ̂n	Trajan
Hâ-tet-liòng	Hadrian
Khièu-tshṳ-â	Georgia (U.S. state)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marcus Aurelius
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	North Carolina
Nàm Khà-lò-lòi-na̍p	South Carolina
Loire-sén	Loire
Pâ-set-lò-nâ	Barcelona
Vòng-lî	Pineapple
Me̍t-sî-sî-pí	Mississippi
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	New Mexico
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Missouri
Lu-yi-sṳ̂-ôn-ná	Louisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	North Sea
Mo̍k-sṳ̂-khô-chû	Moscow Oblast
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hanover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	Munich
Erfurt	Erfurt
Dresden	Dresden
Kaliningrad-chû	Kaliningrad Oblast
Murmansk-chû	Murmansk Oblast
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Frankfurt
Fut-lò-tshṳ-ngá-fû	Wrocław
Làn	Lanthanum
Ki (鉕)	Promethium
Sân	Samarium
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinium
Thi̍t (鋱)	Terbium
Tit (鏑)	Dysprosium
Sṳn-kîn	Bible
Fó	Holmium
Ngí (鉺)	Erbium
Tiû	Thulium
Yi	Ytterbium
Liu	Lutetium
Hò-nui-sṳ	Hanoi
Chṳ̂n Yâ-sû Kau-fi	True Jesus Church
Yîn-ngî	English language
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka–Belitung Islands
Thòi-pet-sṳ	Taipei
Mî (鋂)	Americium
Arkhangelsk-chû	Arkhangelsk Oblast
Khiu̍k	Curium
Thùng-hói-sṳ	Đồng Hới
Concepción	Concepción, Chile
Pet (鉳)	Berkelium
Khà (鉲)	Californium
Mìn-kú-lû-sén	Bengkulu
Oi	Einsteinium
Fi	Fermium
Mùn	Mendelevium
Na	Nobelium
Ontario-sén	Ontario
Lò	Lawrencium
Karelia Khiung-fò-koet	Republic of Karelia
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi
Komi Khiung-fò-koet	Komi Republic
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	North Sumatra
Syktyvkar	Syktyvkar
Québec-sṳ	Quebec City
Nenets Chhṳ-chhṳ-khî	Nenets Autonomous Okrug
Liàu-nui-sén	Riau
Leningrad-chû	Leningrad Oblast
Pskov-chû	Pskov Oblast
Liàu-nui Khiùn-tó-sén	Riau Islands Province
Nizhny Novgorod-chû	Nizhny Novgorod Oblast
Nàm Sû-mùn-tap-lia̍p-sén	South Sumatra
Lò-mâ Ti-koet	Roman Empire
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Tver Oblast
Khù-lû-fû	Kurów
Fa-ho̍k	Chemistry
Smolensk-chû	Smolensk Oblast
Yaroslavl-chû	Yaroslavl Oblast
Kostroma-chû	Kostroma Oblast
Ivanovo-chû	Ivanovo Oblast
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Association football
Ryazan-chû	Ryazan Oblast
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	West Sumatra
Tula-chû	Tula Oblast
IPad	IPad
Mâ-tet-lî	Madrid
Bryansk-chû	Bryansk Oblast
Michael Jackson	Michael Jackson
Kaluga-chû	Kaluga Oblast
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain
Allier-sén	Allier
Khâm-phì-là	Canberra
Sông Alpes-sén	Hautes-Alpes
Oryol-chû	Oryol Oblast
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpes-de-Haute-Provence
Liu̍k-set	Green
Alpes-Maritimes-sén	Alpes-Maritimes
Hâ-tet-sùn-hò	Hudson River
Me̍t-ngì-pún	Melbourne
Fùng-set	Red
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Kursk Oblast
Ariège-sén	Ariège (department)
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	New South Wales
Bouches-du-Rhône-sén	Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Australian Capital Territory
Cantal-sén	Cantal
Belgorod-chû	Belgorod Oblast
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finistère
Voronezh-chû	Voronezh Oblast
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Lipetsk Oblast
Van-tan-sén	Banten
Chûng Cháu-ôa-sén	Central Java
Fùi-sên	Comet
Rostov-chû	Rostov Oblast
Tûng Cháu-ôa-sén	East Java
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jakarta
Sî Cháu-ôa-sén	West Java
Adygea Khiung-fò-koet	Adygea
Ngit-ngiâ Thi-fông Thi̍t-khî	Special Region of Yogyakarta
Gera	Gera
Maykop	Maykop
Cháu-ôa-tó	Java
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Lesser Sunda Islands
Sû-lâ-vî-sî-tó	Sulawesi
Mô-lu̍k-kâ Khiùn-tó	Maluku Islands
Chûng Kâ-lî-man-tân-sén	Central Kalimantan
Tûng Kâ-lî-man-tân-sén	East Kalimantan
Nàm Kâ-lî-man-tân-sén	South Kalimantan
Kâ-li-sî-â	Galicia (Spain)
Sî Kâ-lî-man-tân-sén	West Kalimantan
Thai-ho̍k	University
Pretoria	Pretoria
Chok-khiù	Table tennis
Â-sṳ̂-thù-lî-â-sṳ̂	Asturias
Wikipedia:Sandbox	Wikipedia:Sandbox
Astrakhan-chû	Astrakhan Oblast
Kham-thap-pu-lî-â	Cantabria
Kalmykia Khiung-fò-koet	Kalmykia
Weimar	Weimar
Osasco	Osasco
Â-là-kung	Aragon
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Dong Hoi Airport
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Category:History of Taiwan
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Confucius
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Category:Mathematics
分類:Ngìn-kûng ngî-ngièn	Category:Constructed languages
Pâ-lî-sén	Bali
Mî-kîm	United States dollar
Thi-chûng-hói	Mediterranean Sea
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Christianity
Tûng Nú-sâ Tên-kâ-là-sén	East Nusa Tenggara
Sî Nú-sâ Tên-kâ-là-sén	West Nusa Tenggara
Chûng Sû-lâ-vî-sî-sén	Central Sulawesi
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	North Sulawesi
Tûng-nàm Sû-lâ-vî-sî-sén	Southeast Sulawesi
Nàm Sû-lâ-vî-sî-sén	South Sulawesi
Sî Sû-lâ-vî-sî-sén	West Sulawesi
Vò-é	Rice
Mâ-lû-kú-sén	Maluku (province)
Pet Mâ-lû-kú-sén	North Maluku
Pâ-pu-â-sén	Papua (province)
Sî Pâ-pu-â-sén	West Papua (province)
Dagestan Khiung-fò-koet	Dagestan
Sú-tû	Capital city
Monzón	Monzón
Phù-thò-ngà-ngî	Portuguese language
Ngie̍t	Month
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Makhachkala
Chechnya Khiung-fò-koet	Chechnya
Grozny	Grozny
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Ingushetia
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	North Ossetia–Alania
Kabardino-Balkaria Khiung-fò-koet	Kabardino-Balkaria
Tson-sa̍k	Diamond
Bill Gates	Bill Gates
Ngi̍t-ngî	Japanese language
Pak-khô-chhiòn-sû	Encyclopedia
頭頁	Main Page
Karachay-Cherkessia Khiung-fò-koet	Karachay-Cherkessia
Saratov	Saratov
Saratov-chû	Saratov Oblast
Orenburg-chû	Orenburg Oblast
Mordovia Khiung-fò-koet	Mordovia
Saransk	Saransk
Yâ-khiù	Baseball
Làm-khiù	Basketball
Kirov-chû	Kirov Oblast
Udmurtia Khiung-fò-koet	Udmurtia
Sî-pak-li-â	Siberia
Mari El Khiung-fò-koet	Mari El
Yoshkar-Ola	Yoshkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Sverdlovsk Oblast
Cape Town	Cape Town
Chuvash Khiung-fò-koet	Chuvashia
Durban	Durban
Cheboksary	Cheboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstan
Penza-chû	Penza Oblast
Là-fî-ngì	Raphael
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Ulyanovsk Oblast
Gung-gung-hi-tsaa	Bus
Kâ-thai-lò-nì-â	Catalonia
Bashkortostan Khiung-fò-koet	Bashkortostan
Chelyabinsk-chû	Chelyabinsk Oblast
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Valencian Community
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castile and León
Kurgan-chû	Kurgan Oblast
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Tyumen Oblast
Omsk-chû	Omsk Oblast
Thai-mí-ngì-ngî	Tamil language
Chet-ho̍k	Philosophy
分類:Candidates for speedy deletion	Category:Candidates for speedy deletion
Altai Khiung-fò-koet	Altai Republic
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altaysk
Kemerovo-chû	Kemerovo Oblast
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Capitalism
Koet-kâ	Country
Mìn-chhu̍k	Nation
Khanty-Mansi Chhṳ-chhṳ-khî	Khanty-Mansi Autonomous Okrug
Yamalo-Nenets Chhṳ-chhṳ-khî	Yamalo-Nenets Autonomous Okrug
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Category:Astronomy
Khakassia Khiung-fò-koet	Khakassia
Irkutsk-chû	Irkutsk Oblast
Sakha Khiung-fò-koet	Sakha Republic
Khiet-lò-âi-sî-â-ngî	Croatian language
Hon-pó	Hamburger
Buryatia Khiung-fò-koet	Buryatia
Vû-làn Vû-tet	Ulan-Ude
Amur-chû	Amur Oblast
Ngi-sṳ̍p Sṳ-ki	20th century
Gotha	Gotha
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Catalan language
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Girona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Cell biology
Sṳ-kie Ngiùn-hòng Si̍p-thòn	World Bank
A-la-pak Liên-mên	Arab League
Mìn-tsú Tsú-ngi	Democracy
Chhîn-chhèu (秦朝)	Qin dynasty
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	NATO
Chhìn Sṳ Fòng	Qin Shi Huang
Hon-chhèu	Han dynasty
Hon Vú-ti Liù Chha̍t	Emperor Wu of Han
Sâng-vu̍t	Organism
Kiûn-chú-chṳ	Monarchy
Khiung-fò-koet	Republic
Yí-mô-khiù	Badminton
Ngièn-chhèu	Yuan dynasty
Nazi Tet-koet	Nazi Germany
Yù-thai-ngìn	Jews
Chang Fò	Zheng He
Chìn-chhèu	Jin dynasty (265–420)
Ngí	Ear
Phi	Nose
Ngién	Eye
Mûn-é	Mosquito
Mièn-yòng	Sheep
Lo̍k-thò	Camel
Phú-nen thung-vu̍t	Mammal
Siong	Elephant
Ngie-kûng	Ant
Phûng-é	Bee
Hò-làn-ngî	Dutch language
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	The Walt Disney Company
Thot-yong Fu̍t-thông Fu̍t-son	DNA
Khiô	Eggplant
Siet	Snow
Â-pâ	Father
Fûn	Minute
Yù-thai Chhṳ-chhṳ-chû	Jewish Autonomous Oblast
Ngò-lò-sṳ̂-ngî	Russian language
Tûng-nàm-â Koet-kâ Lièn-mèn	Association of Southeast Asian Nations
Sakhalin-chû	Sakhalin Oblast
Mien-pâu	Bread
Sṳ-kie Mo-yi Chû-chṳt	World Trade Organization
漢語	Chinese language
Se-pâu	Cell (biology)
Hiet-yi̍t	Blood
Hi	Lung
Lò-mâ-nì-â-ngî	Romanian language
Pó-kâ-li-â-ngî	Bulgarian language
Magadan-chû	Magadan Oblast
Chhṳ-yèn Khô-ho̍k	Natural science
Het-chhe̍t Mìn	Akira Kurosawa
Franklin D. Roosevelt	Franklin D. Roosevelt
Thi-khiù Khô-ho̍k	Earth science
Sa̍k-thèu	Rock (geology)
Yùn	Cloud
Kí-hò-ho̍k	Geometry
