ܐܦܪܝܩܐ	Africa
ܝܦܢ	Japan
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	South America
ܢܘܪܒܝܓ	Norway
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Republic of Ireland
ܡܓܪ	Hungary
ܐܣܦܢܝܐ	Spain
ܐܘܚܕܢܐ ܡܚܝܕܐ	United States
ܒܠܓܝܩܐ	Belgium
ܠܘܟܣܡܒܘܪܓ	Luxembourg
ܬܒܝܠ	Universe
ܐܪܥܐ	Earth
ܡܘܬܐ	Death
ܒܪ ܐܢܫܐ	Human
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finland
ܣܘܝܕ	Sweden
ܕܐܢܡܐܪܩ	Denmark
ܦܘܠܢܕ	Poland
ܠܬܘܢܝܐ	Lithuania
ܐܝܛܠܝܐ	Italy
ܣܘܝܣܪܐ	Switzerland
ܢܡܣܐ	Austria
ܝܘܢ	Greece
ܛܘܪܩܝܐ	Turkey
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europe
ܐܣܝܐ (ܝܒܫܬܐ)	Asia
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	North America
ܐܢܛܐܪܩܛܝܩܐ	Antarctica
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Netherlands
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	New York City
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington, D.C.
ܒܪܠܝܢ	Berlin
ܚܫܘܒܐ (ܡܐܟܢܐ)	Computer
ܒܪܢ	Bern
ܬܣܝܪܝܟ	Zürich
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	London
ܐܠܟܣܢܕܪܝܐ	Alexandria
ܚܙܘܪܐ	Apple
ܦܐܪܝܣ	Paris
ܡܟܣܝܩܘ	Mexico
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Atlantic Ocean
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Pacific Ocean
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Monday
ܟܢܘܢ ܒ	January
ܫܒܛ	February
ܐܕܪ	March
ܟܘܫ	Ethiopia
ܢܝܣܢ	April
ܐܝܪ	May
ܚܙܝܪܢ	June
ܬܡܘܙ	July
ܐܒ	August
ܐܝܠܘܠ	September
ܬܫܪܝܢ ܐ	October
ܬܫܪܝܢ ܒ	November
ܟܢܘܢ ܐ	December
ܬܠܬܒܫܒܐ	Tuesday
ܐܪܒܥܒܫܒܐ	Wednesday
ܚܡܫܒܫܒܐ	Thursday
ܥܪܘܒܬܐ	Friday
ܫܒܬܐ (ܙܒܢܐ)	Saturday
ܚܕܒܫܒܐ	Sunday
ܐܪܝܐ	Lion
ܦܪܢܣܐ	France
ܟܠܒܐ	Dog
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	United Kingdom
ܩܛܐ	Cat
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	China
ܠܫܢܐ ܦܪܢܣܝܐ	French language
ܒܪܐܙܝܠ	Brazil
ܪܘܣܝܐ	Russia
ܝܡܐ	Sea
ܝܡܐ ܐܘܟܡܐ	Black Sea
Π	Pi (letter)
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Quebec
ܓܪܡܢ	Germany
ܒܠܐܪܘܣ	Belarus
ܠܫܢܐ ܓܪܡܢܝܐ	German language
ܐܠܗܐ	God
ܐܣܛܘܢܝܐ	Estonia
ܛܝܣܬܐ	Airplane
ܩܪܒܐ	War
1 (ܡܢܝܢܐ)	1 (number)
2 (ܡܢܝܢܐ)	2 (number)
3 (ܡܢܝܢܐ)	3 (number)
4 (ܡܢܝܢܐ)	4 (number)
5 (ܡܢܝܢܐ)	5 (number)
ܠܐܛܒܝܐ	Latvia
ܐܘܩܪܐܝܢܐ	Ukraine
ܬܫܝܟ	Czech Republic
ܣܠܘܒܩܝܐ	Slovakia
ܣܠܘܒܢܝܐ	Slovenia
ܡܘܠܕܘܒܐ	Moldova
ܪܘܡܢܝܐ	Romania
ܒܘܠܓܐܪܝܐ	Bulgaria
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Rome
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	Republic of Macedonia
ܐܠܒܢܝܐ	Albania
