Afrihkká	Africa
Šibenik-Knin guovlu	Šibenik-Knin County
Vukovar-Syrmia guovlu	Vukovar-Srijem County
Split-Dalmatia guovlu	Split-Dalmatia County
Béarnaisebuonjus	Béarnaise sauce
Istria guovlu	Istria County
Dubrovnik-Neretva guovlu	Dubrovnik-Neretva County
Međimurje guovlu	Međimurje County
Duran Duran	Duran Duran
Nuoskkideapmi	Pollution
Pasifisma	Pacifism
Uppsala gielda	Uppsala Municipality
Östhammara gielda	Östhammar Municipality
Narviika	Narvik
Sao Vang girdišillju	Tho Xuan Airport
Älvkarleby gielda	Älvkarleby Municipality
Čuoigama máilmmimeašttirgilvvut 2013	FIS Nordic World Ski Championships 2013
Tooji	Tooji
IPhone 5	IPhone 5
Pávoloddi	Indian peafowl
Sápmi	Sápmi
Hárštá	Harstad
Ålesund	Ålesund
Hoforsa gielda	Hofors Municipality
Bollnäsa gielda	Bollnäs Municipality
Guovdageainnu Stuimmit (filbma)	The Kautokeino Rebellion
Kalmara uniovdna	Kalmar Union
Davvinjárga	Nordkapp
Norgga Sámediggi	Sami Parliament of Norway
Rogier van der Weyden	Rogier van der Weyden
Salamanca eanangoddi	Province of Salamanca
Valladolid eanangoddi	Province of Valladolid
Zamora eanangoddi	Province of Zamora
León eanangoddi	Province of León
Aomori prefektuvra	Aomori Prefecture
Fukushima prefektuvra	Fukushima Prefecture
Birokratiija	Bureaucracy
Nissoniid giehtaspábba-EM 2012	2012 European Women's Handball Championship
Vanhanena II ráđđehus	Vanhanen II Cabinet
Vuovdeviola	Viola riviniana
Sállir	Kvaløya (Tromsø)
Yozgat eanangoddi	Yozgat Province
Alfons Rebane	Alfons Rebane
Martin Haspelmath	Martin Haspelmath
Peter Lorre	Peter Lorre
Bingöl eanangoddi	Bingöl Province
Ardahan eanangoddi	Ardahan Province
Aydın eanangoddi	Aydın Province
Suopmelaš-ugralaš gielat	Finno-Ugric languages
Gáiskešattut	Fern
Chiba prefektuvra	Chiba Prefecture
Amasya eanangoddi	Amasya Province
Ağrı eanangoddi	Ağrı Province
Burdur eanangoddi	Burdur Province
Gáhpir	Hat
Olympos	Mount Olympus
Batman eanangoddi	Batman Province
Novaja Zemlja	Novaya Zemlya
Aichi prefektuvra	Aichi Prefecture
Alla Pugacheva	Alla Pugacheva
Van eanangoddi	Van Province
Sigrid Undset	Sigrid Undset
Ruoŧa leavga	Flag of Sweden
Sitrusšaddosat	Citrus
Álava eanangoddi	Álava
Almería eanangoddi	Province of Almería
Badajoz eanangoddi	Province of Badajoz
Akita prefektuvra	Akita Prefecture
Barcelona eanangoddi	Province of Barcelona
Córdoba eanangoddi	Province of Córdoba (Spain)
Cáceres eanangoddi	Province of Cáceres
Cádiz eanangoddi	Province of Cádiz
Bolu eanangoddi	Bolu Province
Ian Fleming	Ian Fleming
A Coruña eanangoddi	Province of A Coruña
Granada eanangoddi	Province of Granada
Hande Yener	Hande Yener
К	Ka (Cyrillic)
Henri de Toulouse-Lautrec	Henri de Toulouse-Lautrec
П	Pe (Cyrillic)
Gaskamearka	Punctuation
И	I (Cyrillic)
Njálla	Arctic fox
Museu de Arte de São Paulo	São Paulo Museum of Art
Aksaray eanangoddi	Aksaray Province
Edirne eanangoddi	Edirne Province
Norgga leavga	Flag of Norway
Bitlis eanangoddi	Bitlis Province
Ibaraki prefektuvra	Ibaraki Prefecture
Bartın eanangoddi	Bartın Province
DSB	DSB (railway company)
Birkenes	Birkenes
Bygland	Bygland
Bykle	Bykle
Evje og Hornnes	Evje og Hornnes
Froland	Froland
Grimstad	Grimstad
Málle:Girjegáldu	Template:Cite book
Jokŋa	Vaccinium vitis-idaea
Vizcaya eanangoddi	Biscay
Flesberg	Flesberg
Flå	Flå
Guipúzcoa eanangoddi	Gipuzkoa
Huelva eanangoddi	Province of Huelva
Jaén eanangoddi	Province of Jaén (Spain)
Lugo eanangoddi	Province of Lugo
Málaga eanangoddi	Province of Málaga
Ourense eanangoddi	Province of Ourense
Las Palmas	Province of Las Palmas
Pontevedra eanangoddi	Province of Pontevedra
Sevilla eanangoddi	Province of Seville
Tarragona eanangoddi	Province of Tarragona
Santa Cruz de Tenerife eanangoddi	Province of Santa Cruz de Tenerife
Lillehammer	Lillehammer
Luovvarat	Clover
Beahcešattut	Pinaceae
Iglu	Igloo
Tove Jansson	Tove Jansson
Margrethe II	Margrethe II of Denmark
Pärnu	Pärnu
Blekinge leatna	Blekinge County
Diftoŋga	Diphthong
Oarje-Götalándda leatna	Västra Götaland County
Skåne leatna	Skåne County
Junior Eurovision lávllagilvvohallan	Junior Eurovision Song Contest
Jönköpinga leatna	Jönköping County
Jämtlándda leatna	Jämtland County
Norrbottena leatna	Norrbotten County
Hallándda leatna	Halland County
Gävleborgga leatna	Gävleborg County
Kalmara leatna	Kalmar County
Roavvenjárga	Rovaniemi
Hafnarfjörður	Hafnarfjörður
Dalarna leatna	Dalarna County
Gotlándda leatna	Gotland County
Molde	Molde
Stockholmma leatna	Stockholm County
Örebro leatna	Örebro County
Čáhcesuolu	Vadsø
Hámar	Hamar
Kronobergga leatna	Kronoberg County
Eppelmuorat	Malus
Västerbottena leatna	Västerbotten County
Caspar David Friedrich	Caspar David Friedrich
Oarje-Norrlándda leatna	Västernorrland County
Uppsala leatna	Uppsala County
Nuortagötlándda leatna	Östergötland County
Mari Kiviniemi	Mari Kiviniemi
Västmanlándda leatna	Västmanland County
Skandinávalaš gielat	North Germanic languages
Värmlándda leatna	Värmland County
Ivar Aasen	Ivar Aasen
Ísafjörður	Ísafjörður
Södermanlándda leatna	Södermanland County
Fredrikstad	Fredrikstad
Hámmárfeasta	Hammerfest
Tønsberg	Tønsberg
Leikanger	Leikanger
Akraneskaupstaður	Akranes
Sarpsborg	Sarpsborg
Gjøvik	Gjøvik
Belize City	Belize City
Várggát	Vardø
Kongsberg	Kongsberg
Plassje	Røros
Sandefjord	Sandefjord
Solna gielda	Solna Municipality
Stuorradiggi	Storting
Moss	Moss, Norway
Hitra	Hitra
Voss	Voss
Haugesund	Haugesund
Halden	Halden
Horten	Horten
Art Tatum	Art Tatum
Guido Reni	Guido Reni
Elverum	Elverum
Askim	Askim
Hobøl	Hobøl
Kristiansund	Kristiansund
Bearalváhki	Berlevåg
Odda	Odda
Kongsvinger	Kongsvinger
Ákŋoluokta	Hasvik
Nedre Eiker	Nedre Eiker
Øvre Eiker	Øvre Eiker
Stientjie	Steinkjer
Ringerike	Ringerike
Njaarke	Namsos
Brønnøy	Brønnøy
Vågå	Vågå
Ringsaker	Ringsaker
Fitjar	Fitjar
Bálat	Ballangen
Ål	Ål
Bømlo	Bømlo
Din Daeng	Din Daeng District
Førde	Førde
Oppdal	Oppdal
Rømskog	Rømskog
Jondal	Jondal
Unjárga	Nesseby
Upplands-Bro gielda	Upplands-Bro Municipality
Danderyda gielda	Danderyd Municipality
Lindås	Lindås
Haninge gielda	Haninge Municipality
Muosát	Måsøy
Ánddasuolu	Andøy
Botkyrka gielda	Botkyrka Municipality
Høyanger	Høyanger
Gáŋgaviika	Gamvik
Tyresö gielda	Tyresö Municipality
Eidsberg	Eidsberg
Gáinnasa gielda	Kalix Municipality
Österåkera gielda	Österåker Municipality
Kaustinena guovlugielda	Kaustinen sub-region
Dierbmámuorji	Paris quadrifolia
Yli-Ii	Yli-Ii
Kyōto prefektuvra	Kyoto Prefecture
Unduláhtta	Budgerigar
Sosiálademokratiija	Social democracy
Pertteli	Pertteli
Mearrabađaluokta	Gulf of Bothnia
Renée Zellweger	Renée Zellweger
Ōsaka prefektuvra	Osaka Prefecture
Fukuoka prefektuvra	Fukuoka Prefecture
Nuorssát	Dryas (plant)
Älvdalena gielda	Älvdalen Municipality
Kiuruvesi	Kiuruvesi
Vaasa	Vaasa
Aretha Franklin	Aretha Franklin
Partille gielda	Partille Municipality
Yamagata prefektuvra	Yamagata Prefecture
Tunguska bávkkiheapmi	Tunguska event
Čeahka leavga	Flag of the Czech Republic
Kanagawa prefektuvra	Kanagawa Prefecture
Vestlandet	Western Norway
Vantaa	Vantaa
Trøndelága	Trøndelag
Nagano prefektuvra	Nagano Prefecture
Uummannarsuaq	Cape Farewell, Greenland
Mie prefektuvra	Mie Prefecture
Skiervá	Skjervøy
Čukčá	Western capercaillie
In a Reverie	In a Reverie
Røst	Røst
Fiskesjuopmu	Potentilla reptans
Hyōgo prefektuvra	Hyōgo Prefecture
Miyazaki prefektuvra	Miyazaki Prefecture
Lidnu	Eurasian eagle-owl
Čáhppesnjukča	Black swan
Sonja (Norgga dronnet)	Queen Sonja of Norway
Nominatiiva	Nominative case
Nara prefektuvra	Nara Prefecture
Rwanda álbmotgoddin	Rwandan Genocide
Wakayama prefektuvra	Wakayama Prefecture
Shizuoka prefektuvra	Shizuoka Prefecture
Shiga prefektuvra	Shiga Prefecture
Márfi	Sausage
Flora	Flora
Harry Houdini	Harry Houdini
Kiinná ođđajahki	Chinese New Year
Cizášfálli	Merlin (bird)
Vilgesguolli	Beluga whale
Dorotea gielda	Dorotea Municipality
Norgga ruvdno	Norwegian krone
Niigata prefektuvra	Niigata Prefecture
Yamanashi prefektuvra	Yamanashi Prefecture
Shimane prefektuvra	Shimane Prefecture
Toyama prefektuvra	Toyama Prefecture
Gro Harlem Brundtland	Gro Harlem Brundtland
Bourg-en-Bresse	Bourg-en-Bresse
Beahci	Scots pine
Ja, vi elsker dette landet	Ja, vi elsker dette landet
Fukui prefektuvra	Fukui Prefecture
Báktenárti	Micranthes nivalis
Gollenárti	Saxifraga aizoides
Ōita prefektuvra	Ōita Prefecture
Tottori prefektuvra	Tottori Prefecture
Jyväskylä	Jyväskylä
Howard Walter Florey	Howard Florey
Gárasavvon	Karesuando
Zacapa	Zacapa
Algiers eanangoddi	Algiers Province
Ali Birra	Ali Birra
Ruovddagas	Black woodpecker
Söderhamna gielda	Söderhamn Municipality
Fiskesrássešattut	Ranunculaceae
Svolvær	Svolvær
Akkusatiiva	Accusative case
Violat	Viola (plant)
Suhpi	Populus tremula
Fiskesrásit	Ranunculus
Skábit	Sorbus aucuparia
Čáhppesjieret	Blackcurrant
Jieret	Redcurrant
Gieddemuorji	Fragaria vesca
Máŋggaidlohku	Plural
Ehtemas	Vaccinium uliginosum
Sáhpal	Vicia cracca
Gollerássi	Caltha palustris
Deanutimjan	Thymus serpyllum
Edgar Rice Burroughs	Edgar Rice Burroughs
Skážirat	Filipendula
Miesttaskážirat	Spiraea
З	Ze (Cyrillic)
Dáigejieret	Ribes alpinum
Gollejieret	Ribes aureum
Novealla	Novella
Sandvikena gielda	Sandviken Municipality
Aram Hačaturjan	Aram Khachaturian
German Titov	Gherman Titov
Carl Gustaf Emil Mannerheim	Carl Gustaf Emil Mannerheim
Silvia	Queen Silvia of Sweden
Joan Miró	Joan Miró
Lennart Meri	Lennart Meri
Bryggen i Bergen	Bryggen
Guoládat	Kola, Russia
Eurovision lávllagilvvohallan 1957	Eurovision Song Contest 1957
Olav V	Olav V of Norway
Haakon VII	Haakon VII of Norway
John Singer Sargent	John Singer Sargent
Hurri	Black grouse
Violašattut	Violaceae
Soahkešattut	Betulaceae
Nellehat	Dianthus
Juopmošattut	Polygonaceae
Larvik	Larvik
Nárttit	Saxifraga
Muoskkáš	Menyanthes
Victoria (Ruoŧa ruvdnaprinseassa)	Victoria, Crown Princess of Sweden
Skiptvet	Skiptvet
Ørsta	Ørsta
Helga Pedersen	Helga Pedersen (Norway)
Anniken Huitfeldt	Anniken Huitfeldt
Sofía	Queen Sofía of Spain
Marianne Aasen	Marianne Aasen
Jan Tore Sanner	Jan Tore Sanner
Lupiidnat	Lupinus
Ávžaskábit	Amelanchier
Dássesiiddot golmmačiegat	Equilateral triangle
Podokarpusšattut	Podocarpaceae
Bađverásit	Alchemilla
Juomut	Rumex
Fiskesrássi	Ranunculus acris
Guolbbanásti	Trientalis europaea
Soahki	Betula pubescens
Skierri	Betula nana
Horbmášattut	Epilobium
Leaibi	Alnus incana
Veaddemuorji	Rubus saxatilis
Njuolggočiegat golmmačiegat	Right triangle
Hilsku	Stellaria media
Luomi	Rubus chamaemorus
Horbmá	Chamerion angustifolium
Ruonáminta	Spearmint
Ođđa-Selándda leavga	Flag of New Zealand
Saga prefektuvra	Saga Prefecture
Tokushima prefektuvra	Tokushima Prefecture
Vándádivga	Linnaea
Nuorsá	Dryas octopetala
Niitobiellorássi	Geum rivale
Sáhpalat	Melampyrum
Suotnjoruški	Comarum palustre
Rohtohilsku	Stellaria nemorum
Beivečalbmi	Parnassia palustris
Boallorássi	Trollius europaeus
Niitosáhpal	Lathyrus pratensis
Boaresgállarássi	Geranium sylvaticum
Gieddesáhpal	Melampyrum pratense
Gonagasčoalci	Pedicularis sceptrum-carolinum
Alit vuodjalasta	Pinguicula vulgaris
Alitnásti	Gentiana nivalis
Vuodjalasttat	Pinguicula
Gálberássi	Rhodiola rosea
Alitnárti	Saxifraga oppositifolia
Ruksesrássi	Silene dioica
Riessanellet	Dianthus superbus
Høylandet	Høylandet
Kuopio	Kuopio
Vuovdesáhpal	Melampyrum sylvaticum
Vårt land	Maamme
Nástenárti	Saxifraga stellaris
Bealdoseakkalasta	Spergula arvensis
Vilgessieđga	Salix lanata
Gironlasta	Salix herbacea
Kópavogur	Kópavogur
Einar Gerhardsen	Einar Gerhardsen
Uhcabáiski	Little gull
Herlev	Herlev Municipality
Haakon Magnus (Norgga ruvdnaprinsa)	Haakon, Crown Prince of Norway
Ingrid Alexandra (Norgga prinseassa)	Princess Ingrid Alexandra of Norway
Hávga	Northern pike
Huittinen	Huittinen
Ávža	Prunus padus
Iinnasuolu	Hinnøya
Kveanagiella	Kven language
Ruonáčáihni	European green woodpecker
Njenecat	Nenets people
Bang Sue	Bang Sue District
Bággolonisteapmi	Eminent domain
Mu isamaa, mu õnn ja rõõm	Mu isamaa, mu õnn ja rõõm
Vuoskku	European perch
Frans Hals	Frans Hals
Gaccepat	Tit (bird)
Robert Frost	Robert Frost
Aïn Defla eanangoddi	Aïn Defla Province
Akseli Gallen-Kallela	Akseli Gallen-Kallela
Skuolfi	Snowy owl
Uvlohávut	European honey buzzard
Keflavík	Keflavík
Bađošgaccet	Long-tailed tit
Janez Drnovšek	Janez Drnovšek
Hálddahusriekti	Administrative law
Fuolki	Kinship
Eurovision lávllagilvvohallan 1956	Eurovision Song Contest 1956
Л	El (Cyrillic)
Stuoragiljobaš	Greater white-fronted goose
Sabehat	Ski
Čoavjehávvi	Peptic ulcer
Ч	Che (Cyrillic)
Ш	Sha
Н	En (Cyrillic)
Vilgessoadjeskávli	Iceland gull
Ф	Ef (Cyrillic)
Bearalskuolfi	Boreal owl
Rigaluokta	Gulf of Riga
Bangkok Yai	Bangkok Yai District
Nils Gaup	Nils Gaup
Rivttát	Gratangen
Ålándda sullot	Archipelago (Åland)
Nordhordland	Nordhordland
Luleju gielda	Luleå Municipality
Échenevex	Échenevex
Rievssatfálli	Gyrfalcon
Áigi (giellaoahpalaš)	Grammatical tense
Sololá (departemeanta)	Sololá Department
Guatemala leavga	Flag of Guatemala
О	O (Cyrillic)
Vårgårda gielda	Vårgårda
Rievssat	Willow ptarmigan
Varberga gielda	Varberg Municipality
М	Em (Cyrillic)
Vårdö	Vårdö
Ц	Tse (Cyrillic)
Urho Kekkonen	Urho Kekkonen
Х	Kha (Cyrillic)
У	U (Cyrillic)
С	Es (Cyrillic)
Ránesbuokča	Red-necked grebe
Harjumaa	Harju County
Pori	Pori
Lemi	Lemi
Andrew Lloyd Webber	Andrew Lloyd Webber
Gussagoalsi	Common merganser
Й	Short I
Р	Er (Cyrillic)
Lappeenranta	Lappeenranta
Alvesta gielda	Alvesta Municipality
Matti Vanhanen	Matti Vanhanen
Châtillon-en-Michaille	Châtillon-en-Michaille
Щ	Shcha
Т	Te (Cyrillic)
Bakku	Hazel grouse
Báktegájanas	Echo
Sande (Vestfolda)	Sande, Vestfold
Livlánda	Livonia
Vordingborg	Vordingborg Municipality
Doavtta	Black-throated loon
Uhcačáihni	Lesser spotted woodpecker
Vuohki (giellaoahpalaš)	Grammatical mood
Partihkal (sátneluohkká)	Grammatical particle
Pärnumaa	Pärnu County
Čáhcevuonccis	Water rail
Louisa May Alcott	Louisa May Alcott
Garðabær	Garðabær
Bájil gielda	Pajala Municipality
Joensuu	Joensuu
Ю	Yu (Cyrillic)
Jambol	Yambol
Burlöva gielda	Burlöv Municipality
Lofuohta	Lofoten
Carl Larsson	Carl Larsson
Ruksesčottačuonjá	Red-breasted goose
Järvamaa	Järva County
Võrumaa	Võru County
Adrar eanangoddi	Adrar Province
Belley	Belley
Ain gielddat	Communes of the Ain department
Eurovision lávllagilvvohallan 1958	Eurovision Song Contest 1958
Kantarella	Chanterelle
Lulli-Suoma leatna	Southern Finland Province
Я	Ya (Cyrillic)
Luossa	Atlantic salmon
Jan Matejko	Jan Matejko
Álbmotdearvvašvuohta	Public health
Vuoktagoalsi	Red-breasted merganser
Karabük eanangoddi	Karabük
Oarje-Virumaa	Lääne-Viru County
Nuorta-Virumaa	Ida-Viru County
Läänemaa	Lääne County
Jõgevamaa	Jõgeva County
Inuhkat	Inuit
Govuskuolfi	Ural owl
Bargiidbellodat	Labour Party (Norway)
NRK	NRK
Gieddeviola	Viola tricolor
Áhpedoavtta	Great northern loon
Prunus	Prunus
Mikkeli	Mikkeli
Venn-diagrámma	Venn diagram
Gaskasudanalaš gielat	Central Sudanic languages
Skábma	Polar night
Indiačuonjá	Bar-headed goose
Cihceskuolfi	Eurasian pygmy owl
Bellegarde-sur-Valserine	Bellegarde-sur-Valserine
Ы	Yery
Giljobaš	Lesser white-fronted goose
Э	E (Cyrillic)
Põlvamaa	Põlva County
Čáhppesbuokča	Horned grebe
Viljandimaa	Viljandi County
Bartolomé Esteban Murillo	Bartolomé Esteban Murillo
Kotka	Kotka
Ambérieu-en-Bugey	Ambérieu-en-Bugey
Norgga fylkkat	Counties of Norway
Raplamaa	Rapla County
Valgamaa	Valga County
Tartumaa	Tartu County
Haváijasullot	Hawaiian Islands
Oarje-Suoma leatna	Western Finland Province
Nokia (gávpot)	Nokia, Finland
Selfoss	Selfoss (town)
Ivan Šiškin	Ivan Shishkin
Kajaani	Kajaani
Bigán	Northern hawk-owl
Guksi	Ladle (spoon)
Porvoo	Porvoo
Phu Cat Airport	Phu Cat Airport
Ambronay	Ambronay
Suovasteapmi	Smoking (cooking)
Ambléon	Ambléon
Geirangerfjorden	Geirangerfjord
Artemare	Artemare
Anglefort	Anglefort
Arnold Rüütel	Arnold Rüütel
Aranc	Aranc
Nuorta-Suoma leatna	Eastern Finland Province
Armix	Armix
Bjørnøya	Bear Island (Norway)
Ruoná lihttu	Green League
Dorski	Atlantic cod
Eurovision lávllagilvvohallan 1959	Eurovision Song Contest 1959
Buranovskije Babuški	Buranovskiye Babushki
Ross jiekŋalahtta	Ross Ice Shelf
Lappi leatna	Lapland (former province of Finland)
Pylkönmäki	Pylkönmäki
Ruoŧa leanat	Counties of Sweden
Gárggogoalsi	Smew
Ránesskuolfi	Great grey owl
Eurovision lávllagilvvohallan 1961	Eurovision Song Contest 1961
Livkkárat	Old World flycatcher
Ránesčáihni	Grey-headed woodpecker
Meahccevuoncceslottit	Grouse
Skoarra	Velvet scoter
Ь	Soft sign
Åstorpa gielda	Åstorp Municipality
Finnair	Finnair
Kuivaniemi	Kuivaniemi
Katla (vulkána)	Katla volcano
Eurovision lávllagilvvohallan 1998	Eurovision Song Contest 1998
Oulu leatna	Oulu Province
Sergei Stanišev	Sergei Stanishev
Hämeenlinna	Hämeenlinna
Juho Kusti Paasikivi	Juho Kusti Paasikivi
Čáhppesmuorji	Empetrum nigrum
Bâgé-le-Châtel	Bâgé-le-Châtel
Modalen	Modalen
Beaglečoalbmi	Beagle Channel
Apremont, Ain	Apremont, Ain
Skáhpeskážirat	Sorbaria
Eurovision lávllagilvvohallan 1960	Eurovision Song Contest 1960
Saaremaa (eanangoddi)	Saare County
Höfuðborgarsvæðið	Capital Region (Iceland)
Georges de La Tour	Georges de La Tour
Nauvo	Nagu
Gulmmet	Three-spined stickleback
Giepma	Kemi
Arbignieu	Arbignieu
Andert-et-Condon	Andert-et-Condon
Ambérieux-en-Dombes	Ambérieux-en-Dombes
Kouvola	Kouvola
L'Abergement-Clémenciat	L'Abergement-Clémenciat
Suomenniemi	Suomenniemi
Suðurland	Southern Region (Iceland)
Kalundborg	Kalundborg Municipality
Vuodjinkoarta	Driver's license
Nurmo	Nurmo
Giron (loddi)	Rock ptarmigan
Beštorat	Motacillidae
Nøtterøy	Nøtterøy
Champagne-en-Valromey	Champagne-en-Valromey
Alastaro	Alastaro
Ars-sur-Formans	Ars-sur-Formans
Bettant	Bettant
Bâgé-la-Ville	Bâgé-la-Ville
Urtasat	Herb
Helssega metro	Helsinki Metro
Vilgessealčáihni	White-backed woodpecker
Ruvdnaprinsa	Crown prince
Uusikaupunki	Uusikaupunki
Davvinuortaeana	Nordaustlandet
Brénod	Brénod
Kjell Magne Bondevik	Kjell Magne Bondevik
Olbmoborranrássi	Angelica archangelica
Hyvinkää	Hyvinkää
Émile Friant	Émile Friant
Ivan Kramskoi	Ivan Kramskoi
Junior Eurovision lávllagilvvohallan 2007	Junior Eurovision Song Contest 2007
Áhpehávda	King eider
Kokkola	Kokkola
Kuusamo	Kuusamo
Gáranasmuorji	Arctostaphylos uva-ursi
Belmont-Luthézieu	Belmont-Luthézieu
Kauniainen	Kauniainen
Järvenpää	Järvenpää
Bealgelottit	Wren
Vilgesnjunáhpedoavtta	Yellow-billed loon
Argis	Argis
Bohas-Meyriat-Rignat	Bohas-Meyriat-Rignat
Châtillon-sur-Chalaronne	Châtillon-sur-Chalaronne
Asnières-sur-Saône	Asnières-sur-Saône
L'Abergement-de-Varey	L'Abergement-de-Varey
Arbigny	Arbigny
Soluna Samay	Soluna Samay
Katwijk	Katwijk
Bealljerástát	Waxwing
Arbent	Arbent
Billiat	Billiat
Attignat	Attignat
Chalamont	Chalamont
Oanehisnjunčuonjá	Pink-footed goose
Girkonjárga	Kirkenes
Eurovision lávllagilvvohallan 1971	Eurovision Song Contest 1971
Risto Ryti	Risto Ryti
Pehr Evind Svinhufvud	Pehr Evind Svinhufvud
Kyösti Kallio	Kyösti Kallio
Daniel (Ruoŧa prinsa)	Prince Daniel, Duke of Västergötland
Thorbjørn Jagland	Thorbjørn Jagland
Härnösanda gielda	Härnösand Municipality
Ceyzériat	Ceyzériat
Champdor	Champdor
Charix	Charix
Váđot	Rubus arcticus
Čáihni	Eurasian three-toed woodpecker
Urnes stáhpegirku	Urnes Stave Church
Junior Eurovision lávllagilvvohallan 2003	Junior Eurovision Song Contest 2003
Norðurland vestra	Northwestern Region (Iceland)
Baneins	Baneins
Chanay	Chanay
Bellignat	Bellignat
Bénonces	Bénonces
Biziat	Biziat
Champfromier	Champfromier
Béon, Ain	Béon, Ain
Goargohaŋŋá	Steller's eider
Salo	Salo, Finland
Imatra	Imatra
Jõhvi	Jõhvi
Béligneux	Béligneux
Brens, Ain	Brens, Ain
Ъ	Ъ
Time	Time (disambiguation)
Arandas, Ain	Arandas, Ain
Brégnier-Cordon	Brégnier-Cordon
Briord	Briord
Belleydoux	Belleydoux
Napo (provinsa)	Napo Province
Islándda presideanta	President of Iceland
Nærøyfjorden	Nærøyfjord
Conzieu	Conzieu
La Boisse	La Boisse
Brénaz	Brénaz
Ceyzérieu	Ceyzérieu
Chazey-Bons	Chazey-Bons
Suðurnes	Southern Peninsula (Iceland)
Antigua Guatemala	Antigua Guatemala
Certines	Certines
Bouligneux	Bouligneux
Bény	Bény
Bolozon	Bolozon
Cormaranche-en-Bugey	Cormaranche-en-Bugey
Annaba eanangoddi	Annaba Province
Khenchela eanangoddi	Khenchela Province
Lauri Kristian Relander	Lauri Kristian Relander
Giebmegáisi	Kebnekaise
Duortnus	Tornio
Estelle (Ruoŧa prinseassa)	Princess Estelle, Duchess of Östergötland
Kaarlo Juho Ståhlberg	Kaarlo Juho Ståhlberg
Finddar	European flounder
Davvi-Norga	Northern Norway
John Bauer	John Bauer (illustrator)
Norrtälje gielda	Norrtälje Municipality
Suomussalmi	Suomussalmi
Seltjarnarnes	Seltjarnarnes
MacBook Pro	MacBook Pro
Noarsa	Common minnow
Guovssat	Siberian jay
Junior Eurovision lávllagilvvohallan 2005	Junior Eurovision Song Contest 2005
Tuusula	Tuusula
Lohja	Lohja
Giemajohka	Kemijoki
Pastaza (provinsa)	Pastaza Province
Thomas Eakins	Thomas Eakins
Junior Eurovision lávllagilvvohallan 2006	Junior Eurovision Song Contest 2006
Junior Eurovision lávllagilvvohallan 2004	Junior Eurovision Song Contest 2004
Helsset-Vantaa girdišillju	Helsinki Airport
Idnešattut	Lycopodiophyta
Askøy	Askøy
Eurovision dánsungilvohallan	Eurovision Dance Contest
Batna eanangoddi	Batna Province
Béchar eanangoddi	Béchar Province
Østlandet	Eastern Norway
Lievenge	Levanger
Hanko	Hanko
Kerava	Kerava
Sigtuna gielda	Sigtuna Municipality
Øyvind Korsberg	Øyvind Korsberg
Suoma leanat	Provinces of Finland
Araukariašattut	Araucariaceae
Cihrrelastavizar	Wood warbler
Gulen	Gulen
Skierde	Stjørdal
Alstahaug	Alstahaug
Látvia presideanta	President of Latvia
Zonguldak eanangoddi	Zonguldak Province
Gangkhar Puensum	Gangkhar Puensum
Azuay (provinsa)	Azuay Province
Austurland	Eastern Region (Iceland)
Space Invaders	Space Invaders
Swieqi	Swieqi
Hälleforsa gielda	Hällefors Municipality
Anggun	Anggun
Hillerød	Hillerød Municipality
Mostaganem eanangoddi	Mostaganem Province
Vesturland	Western Region (Iceland)
Sollefteå gielda	Sollefteå Municipality
Bang Khae	Bang Khae District
Tamanrasset eanangoddi	Tamanrasset Province
Tindouf eanangoddi	Tindouf Province
Oran eanangoddi	Oran Province
Laghouat eanangoddi	Laghouat Province
Chlef eanangoddi	Chlef Province
Constantine eanangoddi	Constantine Province
Fiskesviola	Viola biflora
Djelfa eanangoddi	Djelfa Province
Tiaret eanangoddi	Tiaret Province
Tlemcen eanangoddi	Tlemcen Province
Blida eanangoddi	Blida Province
Saïda eanangoddi	Saïda Province
Tizi Ouzou eanangoddi	Tizi Ouzou Province
El Oued eanangoddi	El Oued Province
Bouïra eanangoddi	Bouïra Province
Illizi eanangoddi	Illizi Province
Béjaïa eanangoddi	Béjaïa Province
Aïn Témouchent eanangoddi	Aïn Témouchent Province
Naâma eanangoddi	Naâma Province
Skikda eanangoddi	Skikda Province
El Bayadh eanangoddi	El Bayadh Province
Oum El Bouaghi eanangoddi	Oum El Bouaghi Province
Ouargla eanangoddi	Ouargla Province
Sidi Bel Abbes eanangoddi	Sidi Bel Abbès Province
Jijel eanangoddi	Jijel Province
Mila eanangoddi	Mila Province
Guelma eanangoddi	Guelma Province
Tissemsilt eanangoddi	Tissemsilt Province
Médéa eanangoddi	Médéa Province
Tipaza eanangoddi	Tipaza Province
Challex	Challex
Cessy	Cessy
Boumerdès eanangoddi	Boumerdès Province
Relizane eanangoddi	Relizane Province
Souk Ahras eanangoddi	Souk Ahras Province
Mascara eanangoddi	Mascara Province
El Taref eanangoddi	El Taref Province
Ў	Short U (Cyrillic)
Sétif eanangoddi	Sétif Province
Corlier	Corlier
Corbonod	Corbonod
Beaupont	Beaupont
Évosges	Évosges
Citlaltépetl	Pico de Orizaba
Chimborazo (provinsa)	Chimborazo Province
Gnesta gielda	Gnesta Municipality
Amoc	Amoc (rapper)
Parikkala	Parikkala
Aarhus (gielda)	Aarhus Municipality
Markaryda gielda	Markaryd Municipality
Deadache	Deadache
M'Sila eanangoddi	M'Sila Province
Cotopaxi (provinsa)	Cotopaxi Province
Balan, Ain	Balan, Ain
Brion, Ain	Brion, Ain
Dagneux	Dagneux
