ᐊᑉᕆᖄ	Africa
ᓃᑉᐊᓐ	Japan
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	South America
ᓄᕐᒋ/nurgi	Norway
ᓯᐸᐃᓐ	Spain
ᐊᒥᐊᓕᑲ	United States
ᓄᓇ	Earth
ᐄᒃ	Human
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Sweden
ᐳᓚᓐᑦ	Poland
ᓕᐋᑐᕙ	Lithuania
Italy	Italy
ᐃᐆᕌᑉ	Europe
ᐊᓰᐊ	Asia
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	North America
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Penis
ᐱᕐᓖᓐ	Berlin
ᖃᕋᓴᐅᔭᖅ	Computer
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Apple
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	Mexico
ᑳᓖᐴᕐᓃᐊ	California
ᒧᓇᑖᒃ	Monday
ᔭᓐᓄᐊᓕ	January
ᕕᐳᐊᕆ	February
ᓇᑦᓯᐊᓕᐅᑦ	March
ᐊᐃᐳᕆᓪ	April
ᒪᐃ	May
ᔪᓂ	June
ᔪᓚᐃ	July
ᐊᐅᒍᔅ	August
ᓯᑎᒻᐳᕆ	September
ᐅᒃᑐᐳᕆ	October
ᓄᕕᒻᐳᕆ	November
ᑎᓯᒻᐳᕆ	December
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Dog
China	China
ᐅᐃᒍᐃᕐᒥᐅᖅ	French language
ᐃᖃᓗᒃ	Fish
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alcoholic beverage
ᐅᓛᓴ	Russia
ᐊᕐᕕᒃ	Cetacea
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Quebec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Germany
ᑎᖕᒥᓲᖅ	Airplane
ᐊᑭᕋᖅᑑᑎᔪᑦ	War
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Greenland
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonesia
ᓯᓕ	Chile
ᐱᐅᓕᑦᓯᔨ	Jesus
ᒥᕐᑰᕆ	Mercury (planet)
